Borough,Neighborhood,Latitude,Longitude
Staten Island,Grasmere,40.598268359599906,-74.0766743627905
Staten Island,Old Town,40.59632891379513,-74.08751118005578
Staten Island,Dongan Hills,40.58867294819928,-74.0963990531252
Staten Island,Midland Beach,40.573526905742824,-74.09348266303591
Staten Island,Grant City,40.57621558711788,-74.10585598545434
Staten Island,Bay Terrace,40.55398800858462,-74.13916622175769
Staten Island,Huguenot,40.53191192048961,-74.19174105747814
Staten Island,Pleasant Plains,40.52469937611813,-74.21983106616777
Staten Island,Charleston,40.53053148283314,-74.23215775896526
Staten Island,Rossville,40.54940400650072,-74.21572851113952
Staten Island,Arden Heights,40.54928582278321,-74.18588674583894
Staten Island,Greenridge,40.55529523617321,-74.17079414786092
Staten Island,Chelsea,40.594726027462954,-74.18956045519691
Staten Island,Bloomfield,40.60577868452358,-74.18725638381567
Staten Island,Bulls Head,40.6095918004203,-74.15940948657122
Staten Island,Shore Acres,40.60971934079284,-74.0666776606177
Staten Island,Clifton,40.61917845202843,-74.072642445484
Staten Island,Concord,40.6044731896879,-74.08402364740357
Staten Island,Emerson Hill,40.606794394801,-74.09776206972522
Staten Island,Randall Manor,40.63563000681151,-74.09805062373887
Staten Island,Elm Park,40.630146741193826,-74.1418167896889
Brooklyn,Mill Basin,40.61597423962336,-73.91515391550405
Manhattan,Turtle Bay,40.752042369507215,-73.96770824581834
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682
Staten Island,Willowbrook,40.603706926273716,-74.13208447484298
Staten Island,Egbertville,40.57911874296122,-74.12727240604946
Queens,Middle Village,40.71641451115819,-73.88114319200605
Staten Island,Prince's Bay,40.526264067348116,-74.20152556457658
Staten Island,Richmond Valley,40.5195414574891,-74.22957080626941
